"WAAS Subset Event Id","Local Event Date","Aircraft","Aircraft Operator","Event Location","Crew Fatalities","Crew Injured","Crew Aboard","PAX Fatalities","PAX Injuries","PAX Aboard"
"J1996042","23-NOV-96","BOEING 767-200ERM
","ETHIOPIAN AIRLINES","OFF LE GALAWA BEACH, 25KM N OF  MORONI,  GRANDE COMORE ISLAND, KM","10","0","12","117","5","163"
"J1997011","08-MAY-97","BOEING 737-300
","CHINA SOUTHERN AIRLINES","HUANGTIAN INTL. AP.,  SHENZHEN,  GUANGDONG, CN","2","0","9","33","0","65"
"J1997020","09-JUL-97","FOKKER 100
","TAM - TRANSPORTES AÉREOS REGIONAIS SA","NR. SUZANO, BR","0","0","5","1","0","55"
"J1997024","06-AUG-97","BOEING 747-300
","KOREAN AIR","NIMITZ HILL, NR. AGANA, GU","14","3","17","215","22","237"
"J1997037","26-SEP-97","AIRBUS A300 B4-220F
","GARUDA INDONESIA","NR. MEDAN, ID","12","0","12","222","0","222"
"J1997040","10-OCT-97","DOUGLAS DC-9-32
","AUSTRAL","ARROYO SANCHEZ, NR. FRAY BENTOS, UY","5","0","5","69","0","69"
"J1997051","19-DEC-97","BOEING 737-300
","SILKAIR","MUSI RIVER,, 56KM FROM  PALEMBANG, ID","7","0","7","97","0","97"
"J1997052","28-DEC-97","BOEING 747-100
","UNITED AIRLINES","1750KM E OF  TOKYO, JP","0","3","19","1","15","374"
"J1998003","02-FEB-98","DOUGLAS DC-9-32
","CEBU PACIFIC AIR","MT SUMAGAYA, NR. CAGAYAN DE ORO,  MINDANAO, PH","5","0","5","99","0","99"
"J1998007","16-FEB-98","AIRBUS A300-620R
","CHINA AIRLINES","CHIANG KAI SHEK INTL. AP.,  TAIPEI, TW","14","0","14","182","0","182"
"J1998014","19-MAR-98","BOEING 727-200 ADV.
","ARIANA AFGHAN AIRLINES","MT. SHAKHI BARANTA, NR. KABUL, AF","10","0","10","35","0","35"
"J1998019","20-APR-98","BOEING 727-200 ADV.
","TAME ECUADOR","CERRO EL CABLE, NR. BOGOTA, CO","10","0","10","43","0","43"
"J1998041","02-SEP-98","DOUGLAS MD-11
","SWISSAIR","IN SEA, 9KMOF FF PEGGY'S COVE,  NOVA SCOTIA, CA","14","0","14","215","0","215"
"J1998046","25-SEP-98","BRITISH AEROSPACE 
146-100","PAUKN AIR","CAP TRES FORCAS AREA, NR. MELILLA, MA","4","0","4","34","0","34"
"J1998057","10-OCT-98","BOEING 727-100
","CONGO AEROSPACE","NR. KINDU, CD","3","0","3","38","0","38"
"J1998067","11-DEC-98","AIRBUS A310-200
","THAI INTERNATIONAL","SURAT THANI AP.,  SURAT THANI, TH","11","0","14","91","0","132"
"J1999053","01-JUN-99","DOUGLAS MD-82
","AMERICAN AIRLINES","NATIONAL AP. (ADAMS FIELD),  LITTLE ROCK,  ARKANSAS, US","1","4","6","10","41","139"
"J1999062","24-AUG-99","DOUGLAS MD-90-30
","UNI AIR","HUALIEN AP.,  HUALIEN, TW","0","0","6","1","13","90"
"J1999064","31-AUG-99","BOEING 737-200C
","LAPA","AEROPARQUE JORGE NEWBERY,  BUENOS AIRES, AR","3","0","5","60","15","95"
"J1999068","22-AUG-99","DOUGLAS MD-11
","CHINA AIRLINES","CHEP LAP KOK INTL. AP.,  HONG KONG, HK","0","6","15","3","44","300"
"J1999069","14-SEP-99","BOEING 757-200
","BRITANNIA AIRWAYS","COSTA BRAVA AP.,  GERONA, ES","0","0","9","1","2","236"
"J1999080","31-OCT-99","BOEING 767-300ER
","EGYPTAIR","NORTH ATLANTIC OCEAN, 100KM S OF  NANTUCKET ISLAND,  MASSACHUSETTS, US","14","0","14","203","0","203"
"J1999081","09-NOV-99","DOUGLAS DC-9-31CF(M)
","TAESA","NR. URUAPAN, MX","5","0","5","13","0","13"
"J1999092","21-DEC-99","DOUGLAS DC-10-30
","CUBANA","LA AURORA AP.,  GUATEMALA CITY, GT","8","0","18","8","0","296"
"J2000001","31-JAN-00","DOUGLAS MD-83
","ALASKA AIRLINES","IN SEA, OFF POINT MUGU,  CALIFORNIA, US","5","0","5","83","0","83"
"J2000002","30-JAN-00","AIRBUS A310-300
","KENYA AIRWAYS","IN SEA, OFF ABIDJAN, CI","10","0","10","159","0","169"
"J2000024","19-APR-00","BOEING 737-200 ADV.
","AIR PHILIPPINES","SAMAL ISLAND, NR. DAVAO, PH","7","0","7","124","0","124"
"J2000039","25-JUL-00","BAC/SUD CONCORDE
","AIR FRANCE","GONESSE, NR. PARIS, FR","9","0","9","100","0","100"
"J2000040","17-JUL-00","BOEING 737-200 ADV.
","ALLIANCE AIR","GARDANIBAGH DISTRICT,  PATNA, IN","6","0","6","49","2","52"
"J2000045","23-AUG-00","AIRBUS A320-210
","GULF AIR","NR. AL MANAMA, BH","8","0","8","135","0","135"
"J2000052","31-OCT-00","BOEING 747-400
","SINGAPORE AIRLINES","CHIANG KAI SHEK INTL. AP.,  TAIPEI, TW","4","4","20","79","35","159"
"J2001065","11-SEP-01","BOEING 767-200ER
","AMERICAN AIRLINES","NORTH TOWER, WORLD TRADE CENTER,  NEW YORK,  NEW YORK, US","11","0","11","81","0","81"
"J2001066","11-SEP-01","BOEING 757-200
","AMERICAN AIRLINES","THE PENTAGON,  ARLINGTON,  VIRGINIA, US","6","0","6","58","0","58"
"J2001067","11-SEP-01","BOEING 757-200
","UNITED AIRLINES","STONEY CREEK TOWNSHIP, NR. SOMERSET,  PENNSYLVANIA, US","7","0","7","37","0","37"
"J2001068","11-SEP-01","BOEING 767-200
","UNITED AIRLINES","SOUTH TOWER, WORLD TRADE CENTER,  NEW YORK,  NEW YORK, US","9","0","9","56","0","56"
"J2001072","08-OCT-01","DOUGLAS MD-87
","SAS","LINATE AP.,  MILAN, IT","6","0","6","104","0","104"
"J2001080","12-NOV-01","AIRBUS A300-600R
","AMERICAN AIRLINES","BELLE HARBOR, QUEENS,  NEW YORK,  NEW YORK, US","9","0","9","251","0","251"
"J2001081","15-SEP-01","FOKKER 100
","TAM LINHAS AEREAS","132KM FROM  BELO HORIZONTE, BR","0","0","6","1","0","82"
"J2001082","24-NOV-01","AVRO RJ100
","CROSSAIR","GEISSBUHL, NR. ZURICH, CH","3","1","5","21","4","28"
"J2002003","28-JAN-02","BOEING 727-100
","TAME ECUADOR","VOLCAN CUMBAL, NR. IPIALES, CO","9","0","9","83","0","83"
"J2002015","15-APR-02","BOEING 767-200ER
","AIR CHINA","NR. KIMHAE INTL. AP.,  PUSAN, KR","8","3","11","120","25","155"
"J2002017","04-MAY-02","BAC ONE-ELEVEN 500
","EAS AIRLINES","GWAMMAJA DISTRICT,  KANO, NG","6","1","7","67","1","70"
"J2002018","07-MAY-02","BOEING 737-500
","EGYPTAIR","NR. TUNIS, TN","3","0","6","11","0","56"
"J2002019","07-MAY-02","DOUGLAS MD-82
","CHINA NORTHERN AIRLINES","IN SEA, OFF DALIAN, CN","9","0","9","103","0","103"
"J2002022","25-MAY-02","BOEING 747-200B
","CHINA AIRLINES","IN SEA, 38KM N OF  PENGHU ISLANDS, TW","19","0","19","206","0","206"
"J2003002","08-JAN-03","AVRO RJ100
","THY - TURKISH AIRLINES","DIYARBAKIR, TR","5","0","5","70","5","75"
"J2003003","09-JAN-03","FOKKER F.28-1000
","TANS-TRANSPORTES AEREOS NACIONALES DE LA SELVA","CERRO COLORQUE, NR. CHACHAPOYAS, PE","5","0","5","41","0","41"
"J2003014","06-MAR-03","BOEING 737-200 ADV.
","AIR ALGERIE","AGUENAR AP.,  TAMANRASSET, DZ","6","0","6","97","1","98"
"J2003119","08-JUL-03","BOEING 737-200C ADV.
","SUDAN AIRWAYS","NR. PORT SUDAN, SD","11","0","11","105","1","106"
"J2003155","25-DEC-03","BOEING 727-200 ADV.
","UTA GUINEE","CADJEHOUN AP.,  COTONOU, BJ","5","5","10","136","17","153"
"J2004001","03-JAN-04","BOEING 737-300
","FLASH AIRLINES","IN MADIQ TIRAN, OFF SHARM EL-SHEIKH, EG","7","0","7","141","0","141"
"J2004068","21-NOV-04","CANADAIR RJ 200LR
","CHINA EASTERN AIRLINES YUNNAN","BAOTOU AP.,  BAOTOU, CN","6","0","6","47","0","47"
"J2004072","30-NOV-04","DOUGLAS MD-82
","LION AIRLINES","ADI SUMARMO AP.,  SOLO,  JAVA, ID","2","3","7","23","56","156"
"J2005007","03-FEB-05","BOEING 737-200 ADV.
","KAM AIR","CHAPERI GHAR, NR. KABUL, AF","6","0","6","98","0","98"
"J2005022","20-APR-05","BOEING 707-320C
","SAHA AIR","MEHRABAD INTL. AP.,  TEHRAN, IR","0","0","16","3","0","157"
"J2005050","14-AUG-05","BOEING 737-300
","HELIOS AIRWAYS","NR. GRAMMATIKOS, GR","6","0","6","115","0","115"
"J2005051","16-AUG-05","DOUGLAS MD-82
","WEST CARIBBEAN AIRWAYS","NR. MACHIQUES,  ZULIA, VE","8","0","8","152","0","152"
"J2005053","23-AUG-05","BOEING 737-200 ADV.
","TANS-TRANSPORTES AEREOS NACIONALES DE LA SELVA","NR. PUCALLPA, PE","5","0","7","35","0","91"
"J2005062","05-SEP-05","BOEING 737-200 ADV.
","MANDALA AIRLINES","POLONIA AP.,  MEDAN,  SUMATRA, ID","5","0","5","95","15","112"
"J2005068","22-OCT-05","BOEING 737-200 ADV.
","BELLVIEW AIRLINES","NR. LISA, NG","6","0","6","111","0","111"
"J2005083","10-DEC-05","DOUGLAS DC-9-32
","SOSOLISO AIRLINES","PORT HARCOURT INTL. AP.,  PORT HARCOURT, NG","7","0","7","101","2","103"
"J2006015","03-MAY-06","AIRBUS A320-210
","ARMAVIA","IN BLACK SEA, OFF SOCHI, RU","8","0","8","105","0","105"
"J2006041","09-JUL-06","AIRBUS A310-320
","S7 AIRLINES","IRKUTSK INTL. AP.,  IRKUTSK, RU","5","3","8","120","38","195"
"J2006052","27-AUG-06","CANADAIR RJ 100
","COMAIR","BLUE GRASS AP.,  LEXINGTON,  KENTUCKY, US","2","1","3","47","0","47"
"J2006065","29-SEP-06","BOEING 737-800
","GOL LINHAS AEREAS","NR. PEIXOTE AZEVEDO, BR","6","0","6","148","0","148"
"J2006068","10-OCT-06","BRITISH AEROSPACE 
146-200","ATLANTIC AIRWAYS (FAROE ISLANDS)","SORSTOKKEN AP.,  STORD, NO","1","0","3","3","6","13"
"J2006078","29-OCT-06","BOEING 737-200 ADV.
","ADC AIRLINES","ABUJA INTL. AP.,  ABUJA, NG","4","1","5","92","7","100"
"J2007001","01-JAN-07","BOEING 737-400
","ADAM AIR","MAKASSAR STRAIT, OFF MAKASSAR, ID","6","0","6","96","0","96"
"J2007017","07-MAR-07","BOEING 737-400
","GARUDA INDONESIA","ADISUTJIPTO AP.,  YOGYAKARTA,  JAWA, ID","1","1","7","20","11","133"
"J2007030","05-MAY-07","BOEING 737-800
","KENYA AIRWAYS","NR. DOUALA, CM","6","0","6","108","0","108"
"J2007044","28-JUN-07","BOEING 737-200 ADV.
","TAAG - ANGOLA AIRLINES","M'BANZA CONGO AP.,  M'BANZA CONGO, AO","1","0","7","4","0","78"
"J2007050","17-JUL-07","AIRBUS A320-230
","TAM LINHAS AEREAS","CONGONHAS INTL. AP.,  SAO PAULO, BR","6","0","6","181","0","181"
"J2007065","16-SEP-07","DOUGLAS MD-82
","ONE-TWO-GO","PHUKET INTL. AP.,  PHUKET, TH","5","2","7","85","38","123"
"J2007085","30-NOV-07","DOUGLAS MD-83
","ATLASJET AIRLINES","NR. ISPARTA, TR","7","0","7","50","0","50"
"J2008024","15-APR-08","DOUGLAS DC-9-51
","HEWA BORA AIRWAYS","GOMA INTL. AP.,  GOMA, CD","0","0","7","15","58","79"
"J2008036","30-MAY-08","AIRBUS A320-230
","TACA INTERNATIONAL AIRLINES","TONCONTIN INTL. AP.,  TEGUCIGALPA, HN","1","0","6","2","60","129"
"J2008037","10-JUN-08","AIRBUS A310-320
","SUDAN AIRWAYS","KHARTOUM INTL. AP.,  KHARTOUM, SD","1","0","11","29","0","203"
"J2008063","20-AUG-08","DOUGLAS MD-82
","SPANAIR","BARAJAS INTL. AP.,  MADRID, ES","6","0","6","148","18","166"
"J2008064","24-AUG-08","BOEING 737-200 ADV.
","ITEK AIR","DZHANY-DZHER, NR. BISHKEK, KG","0","0","6","65","0","84"
"J2008071","14-SEP-08","BOEING 737-500
","AEROFLOT-NORD","NR. PERM, RU","6","0","6","82","0","82"
"J2009012","25-FEB-09","BOEING 737-800
","TURKISH AIRLINES (THY)","NR. SCHIPHOL AP.,  AMSTERDAM, NL","4","0","7","5","28","127"
"J2009031","01-JUN-09","AIRBUS A330-200
","AIR FRANCE","ATLANTIC OCEAN, NE OF  NATAL, BR","12","0","12","216","0","216"
"J2009089","30-JUN-09","AIRBUS A310-320
","YEMENIA","IN SEA, OFF GRAND COMORE ISLAND, KM","11","0","11","141","1","142"
"J2009129","12-NOV-09","CANADAIR RJ 100
","RWANDAIR","GREGOIRE KAYIBANDA AP.,  KIGALI, RW","0","2","5","1","0","10"
"J2010007","25-JAN-10","BOEING 737-800
","ETHIOPIAN AIRLINES","IN MEDITERRANEAN SEA, OFF NAAMEH, LB","8","0","8","82","0","82"
"J2010043","12-MAY-10","AIRBUS A330-200
","AFRIQIYAH AIRWAYS","TRIPOLI, LY","11","0","11","92","1","93"
"J2010045","22-MAY-10","BOEING 737-800
","AIR INDIA EXPRESS","BAJPE AP.,  MANGALORE, IN","6","0","6","152","3","160"
"J2010059","28-JUL-10","AIRBUS A321-230
","AIRBLUE","MARGALLA HILLS, NR. ISLAMABAD, PK","6","0","6","146","0","146"
"J2010067","16-AUG-10","BOEING 737-700
","AIRES COLOMBIA","SESQUICENTENARIO AP.,  SAN ANDRES ISLAND, CO","0","0","6","2","12","125"
"J2010071","24-AUG-10","EMBRAER 190 LR
","HENAN AIRLINES","LINDU AP.,  YICHUN CITY, CN","3","1","5","39","17","91"
"J2011001","09-JAN-11","BOEING 727-200 ADV.
","IRAN AIR","NR. ORUMIYEH, IR","9","1","10","69","26","95"
"J2011015","04-APR-11","CANADAIR RJ 100
","AIRZENA - GEORGIAN AIRWAYS","N'DJILI INTL. AP.,  KINSHASA, CD","4","0","4","28","1","29"
"J2011038","08-JUL-11","BOEING 727-100
","HEWA BORA AIRWAYS","BANGOKA INTL. AP.,  KISANGANI, CD","4","0","6","79","0","112"
"J2011045","20-AUG-11","BOEING 737-200 ADV.
","FIRST AIR","NR. RESOLUTE BAY,  NUNAVUT, CA","4","0","4","8","3","11"
"J2012014","20-APR-12","BOEING 737-200 ADV.
","BHOJA AIR","HUSSAIN ABAD, NR. ISLAMABAD, PK","6","0","6","121","0","121"
"J20120195","25-DEC-12","FOKKER 100
","AIR BAGAN","HEHO, MM","0","2","6","1","7","65"
"J2012025","03-JUN-12","DOUGLAS MD-83
","DANA AIR","LAGOS, NG","6","0","6","147","0","147"
"J20130001","29-JAN-13","CANADAIR RJ 200LR
","SCAT","ALMATY INTL. AP.,  ALMATY, KZ","5","0","5","16","0","16"
"J20130030","06-JUL-13","BOEING 777-200ER
","ASIANA AIRLINES","SAN FRANCISCO INTL. AP.,  SAN FRANCISCO,  CALIFORNIA, US","0","6","16","3","41","291"
"J20130055","17-NOV-13","BOEING 737-500
","TATARSTAN AIR","KAZAN AP.,  KAZAN, RU","6","0","6","44","0","44"
"J20130058","29-NOV-13","EMBRAER 190 AR
","LINHAS AEREAS DE MOCAMBIQUE","BWABWATA NATIONAL PARK, 200KM E OF  RUNDU, NA","6","0","6","27","0","27"
"J20140018","08-MAR-14","BOEING 777-200ER
","MALAYSIA AIRLINES","MISSING,  SOUTHERN INDIAN OCEAN, 00","12","0","12","227","0","227"
"J20140054","24-JUN-14","AIRBUS A310-320
","PAKISTAN INTERNATIONAL AIRLINES","PESHAWAR AP.,  PESHAWAR, PK","0","1","12","1","0","178"
"J20140061","17-JUL-14","BOEING 777-200ER
","MALAYSIA AIRLINES","NR. HRABOVE, 80KM ENE OF  DONETSK, UA","15","0","15","283","0","283"
"J20140069","24-JUL-14","DOUGLAS MD-83
","AIR ALGERIE","SE OF  GOSSI, ML","6","0","6","110","0","110"
"J20140107","28-DEC-14","AIRBUS A320-210
","INDONESIA AIRASIA","KARIMATA STRAIT, OFF PULAU BELITUNG, ID","6","0","6","156","0","156"
"J20150010","24-MAR-15","AIRBUS A320-210
","GERMANWINGS","NR. PRADS-HAUTE-BLEONE,  ALPES-DE-HAUTE PROVENCE, FR","6","0","6","144","0","144"
"J20150058","31-OCT-15","AIRBUS A321-230
","METROJET","SINAI DESERT, 113KM S OF  AL-ARISH, EG","7","0","7","217","0","217"
"J20160003","02-FEB-16","AIRBUS A321-110
","DAALLO AIRLINES","NR. MOGADISHU, SO","0","0","7","1","1","74"
"J20160014","19-MAR-16","BOEING 737-800
","FLYDUBAI","ROSTOV-ON-DON AP.,  ROSTOV-ON-DON,  ROSTOV OBLAST, RU","7","0","7","55","0","55"
"J20160029","19-MAY-16","AIRBUS A320-230
","EGYPTAIR","IN MEDITERRANEAN SEA, 283KMM N OF  ALEXANDRIA, EG","7","0","7","59","0","59"
"S1990001","13-JAN-90","TUPOLEV TU-134A
","AEROFLOT - PRIVOLZHSKOYE DIRECTORATE","NR. PERVOURALSK,  RUSSIA, SU","4","1","6","23","30","65"
"S1990002","23-MAR-90","ANTONOV AN-26
","CUBANA","ANTONIO MACEO AP.,  SANTIAGO DE CUBA, CU","0","0","5","4","17","41"
"S1990006","01-AUG-90","YAKOVLEV YAK-40
","AEROFLOT - AZERBAIJAN DIRECTORATE","NR. AGDAM,  AZERBAIJAN, SU","4","0","4","26","0","26"
"S1990007","24-OCT-90","YAKOVLEV YAK-40
","CUBANA","PUNTA JARDINEIRO AREA, NR. SANTIAGO DE CUBA, CU","2","3","7","11","7","24"
"S1990008","13-SEP-90","YAKOVLEV YAK-42
","AEROFLOT - SVERDLOVSK DIRECTORATE?","KOLTSOVO AP.,  SVERDLOVSK,  RUSSIA, SU","1","4","5","3","27","124"
